date,open,close,raw_open,raw_close
2016-01-04,170.65,171.1,200.49,201.0192
2016-01-05,171.43,171.39,201.405,201.36
2016-01-06,168.81,169.23,198.33,198.82
2016-01-07,166.26,165.17,195.33,194.05
2016-01-08,166.14,163.36,195.19,191.923
2016-01-11,164.28,163.52,193.01,192.11
2016-01-12,164.97,164.84,193.82,193.6608
2016-01-13,165.51,160.73,194.45,188.83
2016-01-14,161.34,163.36,189.55,191.93
2016-01-15,158.97,159.86,186.77,187.81
2016-01-19,161.69,160.07,189.96,188.06
2016-01-20,157.49,158.02,185.03,185.65
2016-01-21,158.5,158.9,186.21,186.69
2016-01-22,161.53,162.16,189.78,190.52
2016-01-25,161.66,159.71,189.93,187.64
2016-01-26,160.38,161.89,188.42,190.2
2016-01-27,161.36,160.13,189.58,188.13
2016-01-28,161.69,160.96,189.96,189.11
2016-01-29,161.73,164.89,190.01,193.7208
2016-02-01,163.87,164.83,192.53,193.65
2016-02-02,163.39,161.86,191.96,190.16
2016-02-03,162.92,162.83,191.41,191.3
2016-02-04,162.33,163.08,190.71,191.6
2016-02-05,162.56,159.98,190.99,187.95
2016-02-08,158.12,157.82,185.77,185.42
2016-02-09,156.07,157.83,183.36,185.43
2016-02-10,158.67,157.7,186.41,185.27
2016-02-11,155.2,155.64,182.34,182.86
2016-02-12,157.43,158.85,184.96,186.63
2016-02-16,160.67,161.53,188.77,189.78
2016-02-17,162.72,164.17,191.17,192.88
2016-02-18,164.44,163.5,193.2,192.09
2016-02-19,162.72,163.42,191.17,192
2016-02-22,165.02,165.79,193.87,194.78
2016-02-23,165.12,163.7,193.99,192.32
2016-02-24,162.26,164.44,190.63,193.2
2016-02-25,164.9,166.44,193.73,195.54
2016-02-26,167.31,166.05,196.57,195.0892
2016-02-29,166.07,164.57,195.11,193.35
2016-03-01,165.99,168.62,195.01,198.11
2016-03-02,168.31,169.38,197.74,199
2016-03-03,169.2,170.04,198.79,199.775
2016-03-04,170.24,170.6,200.01,200.43
2016-03-07,169.67,170.73,199.34,200.59
2016-03-08,169.65,168.87,199.32,198.4
2016-03-09,169.69,169.71,199.36,199.38
2016-03-10,170.2,169.84,199.96,199.54
2016-03-11,171.31,172.58,201.26,202.76
2016-03-14,172.07,172.36,202.16,202.5
2016-03-15,171.39,172.08,201.36,202.17
2016-03-16,171.59,173.08,201.6,203.34
2016-03-17,172.99,174.17,203.24,204.63
2016-03-18,173.79,173.96,204.18,204.38
2016-03-21,173.7,174.21,204.07,204.67
2016-03-22,173.43,174.11,203.76,204.56
2016-03-23,173.73,172.96,204.11,203.2092
2016-03-24,171.94,172.89,202,203.12
2016-03-28,173.31,172.99,203.61,203.24
2016-03-29,172.58,174.59,202.76,205.1208
2016-03-30,175.6,175.36,206.3,206.02
2016-03-31,175.26,174.93,205.91,205.52
2016-04-01,173.94,176.12,204.35,206.92
2016-04-04,176.05,175.55,206.83,206.25
2016-04-05,174.21,173.8,204.67,204.19
2016-04-06,173.88,175.7,204.29,206.42
2016-04-07,174.61,173.59,205.14,203.95
2016-04-08,174.78,174.06,205.34,204.4992
2016-04-11,174.7,173.65,205.25,204.0201
2016-04-12,173.82,175.27,204.22,205.92
2016-04-13,176.19,177.04,207,208.0008
2016-04-14,177.1,177.05,208.07,208.01
2016-04-15,177.05,176.85,208.01,207.78
2016-04-18,176.31,178.1,207.14,209.2392
2016-04-19,178.52,178.66,209.74,209.9
2016-04-20,178.7,178.83,209.95,210.1
2016-04-21,178.85,177.87,210.12,208.97
2016-04-22,177.51,177.87,208.55,208.97
2016-04-25,177.26,177.56,208.26,208.61
2016-04-26,177.93,177.82,209.04,208.9192
2016-04-27,177.44,178.19,208.47,209.35
2016-04-28,177.43,176.57,208.46,207.4475
2016-04-29,175.95,175.62,206.72,206.3308
2016-05-02,176.12,177.02,206.92,207.97
2016-05-03,175.78,175.48,206.52,206.1592
2016-05-04,174.48,174.5,204.99,205.01
2016-05-05,174.97,174.46,205.56,204.97
2016-05-06,173.69,175.1,204.06,205.72
2016-05-09,174.96,175.25,205.55,205.8892
2016-05-10,175.93,177.43,206.69,208.45
2016-05-11,176.97,175.77,207.91,206.5
2016-05-12,176.44,175.82,207.29,206.56
2016-05-13,175.52,174.28,206.21,204.76
2016-05-16,174.45,176,204.96,206.78
2016-05-17,175.73,174.36,206.46,204.8508
2016-05-18,174.01,174.41,204.44,204.91
2016-05-19,173.67,173.81,204.04,204.2
2016-05-20,174.42,174.91,204.92,205.49
2016-05-23,174.92,174.67,205.51,205.21
2016-05-24,175.48,176.93,206.17,207.87
2016-05-25,177.61,178.13,208.67,209.28
2016-05-26,178.27,178.18,209.44,209.34
2016-05-27,178.34,178.95,209.53,210.24
2016-05-31,179.22,178.61,210.56,209.84
2016-06-01,178,178.97,209.12,210.27
2016-06-02,178.57,179.52,209.8,210.91
2016-06-03,178.96,178.98,210.25,210.28
2016-06-06,179.34,179.89,210.7,211.35
2016-06-07,180.04,180.17,211.525,211.68
2016-06-08,180.31,180.76,211.84,212.37
2016-06-09,180.03,180.51,211.51,212.08
2016-06-10,179.14,178.8,210.46,210.07
2016-06-13,178.2,177.42,209.36,208.4492
2016-06-14,177.04,177.08,208,208.04
2016-06-15,177.5,176.83,208.54,207.75
2016-06-16,175.96,177.36,206.73,208.37
2016-06-17,177.25,176.7,207.17,206.52
2016-06-20,178.66,177.83,208.82,207.85
2016-06-21,178.22,178.34,208.3,208.44
2016-06-22,178.52,178.05,208.65,208.1
2016-06-23,179.51,180.37,209.81,210.81
2016-06-24,174.22,173.89,203.63,203.2425
2016-06-27,172.48,170.78,201.59,199.6
2016-06-28,172.38,173.86,201.48,203.1997
2016-06-29,175.26,176.82,204.84,206.66
2016-06-30,177.29,179.23,207.21,209.475
2016-07-01,179.13,179.61,209.36,209.9208
2016-07-05,178.78,178.31,208.95,208.41
2016-07-06,177.82,179.38,207.83,209.66
2016-07-07,179.56,179.27,209.87,209.526
2016-07-08,180.57,181.94,211.05,212.65
2016-07-11,182.4,182.58,213.19,213.4
2016-07-12,183.55,183.91,214.53,214.95
2016-07-13,184.33,183.88,215.44,214.92
2016-07-14,185.15,184.91,216.4,216.12
2016-07-15,185.48,184.66,216.78,215.83
2016-07-18,184.78,185.16,215.97,216.4092
2016-07-19,184.74,184.97,215.92,216.19
2016-07-20,185.45,185.74,216.75,217.085
2016-07-21,185.63,185.03,216.96,216.265
2016-07-22,185.16,185.87,216.41,217.24
2016-07-25,185.66,185.36,217,216.65
2016-07-26,185.26,185.45,216.53,216.75
2016-07-27,185.83,185.25,217.19,216.52
2016-07-28,185.06,185.47,216.29,216.77
2016-07-29,185.2,185.77,216.46,217.12
2016-08-01,185.83,185.61,217.19,216.94
2016-08-02,185.36,184.42,216.65,215.5492
2016-08-03,184.36,184.96,215.48,216.18
2016-08-04,185.07,185.16,216.31,216.4097
2016-08-05,185.84,186.67,217.21,218.18
2016-08-08,186.86,186.56,218.4,218.05
2016-08-09,186.65,186.67,218.15,218.18
2016-08-10,186.78,186.21,218.31,217.64
2016-08-11,186.74,187.08,218.26,218.65
2016-08-12,186.77,186.91,218.29,218.46
2016-08-15,187.28,187.45,218.89,219.09
2016-08-16,187.03,186.48,218.6,217.96
2016-08-17,186.52,186.84,218,218.37
2016-08-18,186.81,187.25,218.34,218.86
2016-08-19,186.78,186.98,218.31,218.54
2016-08-22,186.75,186.97,218.27,218.53
2016-08-23,187.58,187.35,219.24,218.97
2016-08-24,187.2,186.39,218.8,217.85
2016-08-25,186.01,186.26,217.4,217.7
2016-08-26,186.45,185.91,217.92,217.29
2016-08-29,186.04,186.83,217.44,218.3608
2016-08-30,186.74,186.52,218.26,218
2016-08-31,186.19,185.99,217.62,217.38
2016-09-01,185.98,186,217.37,217.39
2016-09-02,186.85,186.84,218.39,218.37
2016-09-06,187.11,187.4,218.69,219.0308
2016-09-07,187.24,187.38,218.84,219.01
2016-09-08,187.05,186.96,218.62,218.51
2016-09-09,185.64,182.48,216.97,213.28
2016-09-12,181.72,185.1,212.39,216.34
2016-09-13,183.82,182.44,214.84,213.23
2016-09-14,182.49,182.35,213.29,213.13
2016-09-15,182.21,184.18,212.96,215.27
2016-09-16,183.57,183.47,213.48,213.36
2016-09-19,184.13,183.51,214.13,213.3992
2016-09-20,184.37,183.55,214.41,213.45
2016-09-21,184.23,185.55,214.24,215.78
